# Index, Coarse, Fine, Raw_Hex
0,24,0,00003000
1,24,0,00003000
2,24,0,00003000
3,24,0,00003000
4,24,0,00003000
5,24,0,00003000
6,24,0,00003000
7,24,0,00003000
8,24,0,00003000
9,24,0,00003000
10,24,0,00003000
11,24,0,00003000
12,24,0,00003000
13,24,0,00003000
14,24,0,00003000
15,24,0,00003000
16,24,0,00003000
17,24,0,00003000
18,24,0,00003000
19,24,0,00003000
20,24,0,00003000
21,24,0,00003000
22,24,0,00003000
23,24,0,00003000
24,24,0,00003000
25,24,0,00003000
26,24,0,00003000
27,24,0,00003000
28,24,0,00003000
29,24,0,00003000
30,24,0,00003000
31,25,74,0000324A
32,25,76,0000324C
33,25,78,0000324E
34,25,74,0000324A
35,25,74,0000324A
36,25,72,00003248
37,25,70,00003246
38,25,64,00003240
39,25,66,00003242
40,25,66,00003242
41,25,64,00003240
42,25,62,0000323E
43,25,62,0000323E
44,23,58,00002E3A
45,23,52,00002E34
46,23,54,00002E36
47,23,54,00002E36
48,23,52,00002E34
49,23,50,00002E32
50,23,50,00002E32
51,23,46,00002E2E
52,23,42,00002E2A
53,23,46,00002E2E
54,23,46,00002E2E
55,23,42,00002E2A
56,23,42,00002E2A
57,23,42,00002E2A
58,23,38,00002E26
59,23,30,00002E1E
60,23,34,00002E22
61,23,34,00002E22
62,23,34,00002E22
63,23,28,00002E1C
64,23,28,00002E1C
65,23,26,00002E1A
66,23,22,00002E16
67,23,22,00002E16
68,23,24,00002E18
69,23,20,00002E14
70,23,20,00002E14
71,23,8,00002E08
72,23,5,00002E05
73,23,1,00002E01
74,23,5,00002E05
75,23,4,00002E04
76,23,3,00002E03
77,23,3,00002E03
78,23,1,00002E01
79,23,1,00002E01
80,23,0,00002E00
81,23,0,00002E00
82,23,1,00002E01
83,23,0,00002E00
84,23,0,00002E00
85,23,0,00002E00
86,23,0,00002E00
87,23,0,00002E00
88,23,0,00002E00
89,23,0,00002E00
90,23,0,00002E00
91,23,0,00002E00
92,23,0,00002E00
93,23,0,00002E00
94,23,0,00002E00
95,23,0,00002E00
96,23,0,00002E00
97,23,0,00002E00
98,23,0,00002E00
99,23,0,00002E00
100,23,0,00002E00
101,23,0,00002E00
102,23,0,00002E00
103,23,0,00002E00
104,23,0,00002E00
105,23,0,00002E00
106,23,0,00002E00
107,23,0,00002E00
108,23,0,00002E00
109,23,0,00002E00
110,23,0,00002E00
111,23,0,00002E00
112,23,0,00002E00
113,23,0,00002E00
114,23,0,00002E00
115,23,0,00002E00
116,23,0,00002E00
117,23,0,00002E00
118,23,0,00002E00
119,23,0,00002E00
120,23,0,00002E00
121,23,0,00002E00
122,23,0,00002E00
123,23,0,00002E00
124,23,0,00002E00
125,23,0,00002E00
126,23,0,00002E00
127,23,0,00002E00
128,23,0,00002E00
129,23,0,00002E00
130,23,0,00002E00
131,23,0,00002E00
132,23,0,00002E00
133,23,0,00002E00
134,23,0,00002E00
135,23,0,00002E00
136,23,0,00002E00
137,23,0,00002E00
138,23,0,00002E00
139,23,0,00002E00
140,23,0,00002E00
