# Index, Coarse, Fine, Raw_Hex
0,90,230,0000B4E6
1,90,222,0000B4DE
2,90,226,0000B4E2
3,90,222,0000B4DE
4,90,222,0000B4DE
5,90,220,0000B4DC
6,90,220,0000B4DC
7,90,218,0000B4DA
8,90,214,0000B4D6
9,90,218,0000B4DA
10,90,214,0000B4D6
11,90,212,0000B4D4
12,90,212,0000B4D4
13,90,212,0000B4D4
14,90,206,0000B4CE
15,90,204,0000B4CC
16,90,206,0000B4CE
17,90,204,0000B4CC
18,90,202,0000B4CA
19,90,202,0000B4CA
20,90,200,0000B4C8
21,88,200,0000B0C8
22,88,200,0000B0C8
23,88,200,0000B0C8
24,88,200,0000B0C8
25,88,200,0000B0C8
26,88,200,0000B0C8
27,88,200,0000B0C8
28,88,198,0000B0C6
29,88,194,0000B0C2
30,88,194,0000B0C2
31,88,194,0000B0C2
32,88,190,0000B0BE
33,88,192,0000B0C0
34,88,190,0000B0BE
35,88,186,0000B0BA
36,88,182,0000B0B6
37,88,186,0000B0BA
38,88,184,0000B0B8
39,88,182,0000B0B6
40,88,179,0000B0B3
41,88,178,0000B0B2
42,88,174,0000B0AE
43,88,170,0000B0AA
44,88,174,0000B0AE
45,88,170,0000B0AA
46,88,166,0000B0A6
47,88,166,0000B0A6
48,88,164,0000B0A4
49,88,162,0000B0A2
50,88,155,0000B09B
51,88,160,0000B0A0
52,88,158,0000B09E
53,88,154,0000B09A
54,88,154,0000B09A
55,88,152,0000B098
56,88,148,0000B094
57,88,142,0000B08E
58,88,148,0000B094
59,88,146,0000B092
60,88,142,0000B08E
61,88,142,0000B08E
62,88,138,0000B08A
63,88,138,0000B08A
64,88,136,0000B088
65,88,136,0000B088
66,88,136,0000B088
67,88,134,0000B086
68,88,134,0000B086
69,88,134,0000B086
70,88,126,0000B07E
71,88,124,0000B07C
72,88,124,0000B07C
73,88,124,0000B07C
74,88,124,0000B07C
75,88,122,0000B07A
76,88,122,0000B07A
77,88,118,0000B076
78,88,114,0000B072
79,88,118,0000B076
80,88,114,0000B072
81,88,114,0000B072
82,88,112,0000B070
83,88,110,0000B06E
84,88,104,0000B068
85,88,100,0000B064
86,88,102,0000B066
87,88,102,0000B066
88,88,100,0000B064
89,88,100,0000B064
90,88,100,0000B064
91,88,100,0000B064
92,88,94,0000B05E
93,88,100,0000B064
94,88,94,0000B05E
95,88,94,0000B05E
96,88,90,0000B05A
97,88,90,0000B05A
98,88,88,0000B058
99,88,86,0000B056
100,88,88,0000B058
101,88,86,0000B056
102,88,86,0000B056
103,88,82,0000B052
104,88,82,0000B052
105,88,78,0000B04E
106,88,76,0000B04C
107,88,76,0000B04C
108,88,76,0000B04C
109,88,74,0000B04A
110,88,72,0000B048
111,88,67,0000B043
112,88,64,0000B040
113,88,62,0000B03E
114,88,64,0000B040
115,88,60,0000B03C
116,88,58,0000B03A
117,88,58,0000B03A
118,88,56,0000B038
119,88,54,0000B036
120,88,50,0000B032
121,88,52,0000B034
122,88,50,0000B032
123,88,50,0000B032
124,88,46,0000B02E
125,88,46,0000B02E
126,88,44,0000B02C
127,88,42,0000B02A
128,88,42,0000B02A
129,88,38,0000B026
130,88,38,0000B026
131,88,36,0000B024
132,88,34,0000B022
133,88,32,0000B020
134,88,28,0000B01C
135,88,30,0000B01E
136,88,28,0000B01C
137,88,26,0000B01A
138,88,26,0000B01A
139,88,26,0000B01A
140,89,226,0000B2E2
