# Index, Coarse, Fine, Raw_Hex
0,24,78,0000304E
1,24,74,0000304A
2,24,72,00003048
3,24,66,00003042
4,24,70,00003046
5,24,70,00003046
6,24,66,00003042
7,24,66,00003042
8,24,64,00003040
9,24,60,0000303C
10,24,54,00003036
11,24,58,0000303A
12,24,58,0000303A
13,24,56,00003038
14,24,52,00003034
15,24,54,00003036
16,24,50,00003032
17,24,44,0000302C
18,24,46,0000302E
19,24,46,0000302E
20,24,44,0000302C
21,24,44,0000302C
22,24,44,0000302C
23,24,42,0000302A
24,24,34,00003022
25,24,38,00003026
26,24,38,00003026
27,24,36,00003024
28,24,34,00003022
29,24,34,00003022
30,24,30,0000301E
31,24,26,0000301A
32,24,26,0000301A
33,24,26,0000301A
34,24,24,00003018
35,24,24,00003018
36,24,22,00003016
37,24,20,00003014
38,24,5,00003005
39,24,8,00003008
40,24,8,00003008
41,24,8,00003008
42,24,5,00003005
43,24,5,00003005
44,22,1,00002C01
45,22,1,00002C01
46,22,1,00002C01
47,22,1,00002C01
48,22,1,00002C01
49,22,1,00002C01
50,22,1,00002C01
51,22,0,00002C00
52,22,0,00002C00
53,22,0,00002C00
54,22,0,00002C00
55,22,0,00002C00
56,22,0,00002C00
57,22,0,00002C00
58,22,0,00002C00
59,22,0,00002C00
60,22,0,00002C00
61,22,0,00002C00
62,22,0,00002C00
63,22,0,00002C00
64,22,0,00002C00
65,22,0,00002C00
66,22,0,00002C00
67,22,0,00002C00
68,22,0,00002C00
69,22,0,00002C00
70,22,0,00002C00
71,22,0,00002C00
72,22,0,00002C00
73,22,0,00002C00
74,22,0,00002C00
75,22,0,00002C00
76,22,0,00002C00
77,22,0,00002C00
78,22,0,00002C00
79,22,0,00002C00
80,22,0,00002C00
81,22,0,00002C00
82,22,0,00002C00
83,22,0,00002C00
84,22,0,00002C00
85,22,0,00002C00
86,22,0,00002C00
87,22,0,00002C00
88,22,0,00002C00
89,22,0,00002C00
90,22,0,00002C00
91,22,0,00002C00
92,22,0,00002C00
93,22,0,00002C00
94,22,0,00002C00
95,22,0,00002C00
96,22,0,00002C00
97,22,0,00002C00
98,22,0,00002C00
99,22,0,00002C00
100,22,0,00002C00
101,22,0,00002C00
102,22,0,00002C00
103,22,0,00002C00
104,22,0,00002C00
105,22,0,00002C00
106,22,0,00002C00
107,22,0,00002C00
108,22,0,00002C00
109,22,0,00002C00
110,22,0,00002C00
111,22,0,00002C00
112,22,0,00002C00
113,22,0,00002C00
114,22,0,00002C00
115,22,0,00002C00
116,22,0,00002C00
117,22,0,00002C00
118,22,0,00002C00
119,22,0,00002C00
120,22,0,00002C00
121,22,0,00002C00
122,22,0,00002C00
123,22,0,00002C00
124,22,0,00002C00
125,22,0,00002C00
126,22,0,00002C00
127,22,0,00002C00
128,22,0,00002C00
129,22,0,00002C00
130,22,0,00002C00
131,22,0,00002C00
132,22,0,00002C00
133,22,0,00002C00
134,22,0,00002C00
135,22,0,00002C00
136,23,80,00002E50
137,22,0,00002C00
138,22,0,00002C00
139,22,0,00002C00
140,23,80,00002E50
